Country,Year,AvgTemp,Country_CO2,Year_CO2,co2,co2_per_capita,total_ghg
Peru,1997,19.72203703703704,Peru,1997,27.747,1.098,120.198
Serbia,1985,9.654180555555556,Serbia,1985,55.244,7.009,73.218
Panama,1977,27.143166666666662,Panama,1977,4.579,2.514,20.946
Panama,1988,27.09008333333333,Panama,1988,2.905,1.235,26.156
Hong Kong,1974,21.543000000000003,Hong Kong,1974,10.667,2.463,13.062
Tunisia,1982,19.4935,Tunisia,1982,9.878,1.43,21.178
Sweden,1997,7.290925925925928,Sweden,1997,58.355,6.597,71.61
Mexico,2000,20.613173539518904,Mexico,2000,391.435,3.969,652.32
France,1984,10.391291666666667,France,1984,414.656,7.515,587.225
India,1977,25.766915583031327,India,1977,258.962,0.404,1154.972
Philippines,1977,26.911451282051278,Philippines,1977,36.664,0.826,276.072
Germany,1980,8.14084259259259,Germany,1980,1099.901,14.045,1335.51
Belarus,2002,8.04921875,Belarus,2002,53.944,5.464,86.952
Cuba,2013,26.503039682539683,Cuba,2013,27.894,2.469,39.601
Netherlands,2002,10.607538194444444,Netherlands,2002,176.738,10.851,223.77
Uganda,1992,24.217555555555563,Uganda,1992,0.801,0.043,35.187
Lithuania,2011,7.806750000000002,Lithuania,2011,13.96,4.609,25.977
Sudan,1976,28.340091666666673,Sudan,1976,3.449,0.237,50.528
Libya,1989,20.373966666666664,Libya,1989,37.069,8.535,81.734
Serbia,1996,9.809152777777777,Serbia,1996,45.696,5.853,56.708
Panama,2013,27.723875,Panama,2013,10.274,2.686,22.485
Indonesia,1977,26.27658218390805,Indonesia,1977,82.41,0.595,709.935
France,1991,10.662877314814818,France,1991,419.119,7.318,638.377
Israel,1984,19.146935185185185,Israel,1984,23.498,5.825,29.175
Colombia,1984,22.6956047008547,Colombia,1984,48.712,1.701,168.302
Vietnam,2013,26.25323333333334,Vietnam,2013,151.459,1.672,370.437
Cuba,2005,26.3424880952381,Cuba,2005,25.706,2.282,45.483
Tanzania,1997,23.2476875,Tanzania,1997,2.824,0.089,94.597
Tanzania,2005,24.011421875,Tanzania,2005,5.356,0.137,163.332
Latvia,2005,6.398333333333333,Latvia,2005,7.811,3.487,17.525
Hungary,1990,11.032990740740741,Hungary,1990,73.427,7.073,98.023
Hungary,2009,11.51312037037037,Hungary,2009,51.458,5.145,61.951
Cameroon,1994,24.869222222222216,Cameroon,1994,4.88,0.384,59.758
Peru,1999,17.735781893004113,Peru,1999,29.562,1.129,138.571
Greece,2012,17.70536904761905,Greece,2012,91.393,8.272,105.525
Lithuania,1992,7.68225,Lithuania,1992,21.168,5.725,33.737
Sudan,1977,27.875766666666667,Sudan,1977,3.495,0.232,48.799
Uzbekistan,1974,11.853127659574467,Uzbekistan,1974,73.506,5.565,115.344
Norway,1981,3.7394500000000006,Norway,1981,31.805,7.758,43.698
Bulgaria,1976,10.2526125,Bulgaria,1976,72.968,8.33,103.345
Togo,2012,27.203083333333336,Togo,2012,2.216,0.312,11.368
Albania,2004,16.162249999999997,Albania,2004,4.177,1.348,7.716
Turkmenistan,1998,15.602527777777778,Turkmenistan,1998,33.446,7.583,57.62
Laos,1996,24.157583333333335,Laos,1996,0.753,0.149,37.665
Pakistan,1993,24.871442715700137,Pakistan,1993,77.176,0.608,205.561
Japan,2013,14.701497841726612,Japan,2013,1311.876,10.271,1351.01
Israel,2011,19.682740740740744,Israel,2011,68.595,9.181,77.985
Romania,2007,11.185162711864407,Romania,2007,108.497,5.199,132.044
Chile,1989,12.536178571428572,Chile,1989,32.018,2.423,59.767
Tanzania,1980,23.004562500000002,Tanzania,1980,1.874,0.098,104.093
Honduras,2004,24.73086666666667,Honduras,2004,7.194,0.986,21.161
Turkey,1998,14.344854545454547,Turkey,1998,215.586,3.383,304.182
Turkey,2001,14.745626865671644,Turkey,2001,216.872,3.274,309.57
Uganda,1988,24.47658333333333,Uganda,1988,0.863,0.052,35.383
Canada,1977,6.6538552631578955,Canada,1977,407.79,17.184,754.494
Lithuania,1974,7.187183333333335,Lithuania,1974,29.785,9.119,41.184
Lithuania,1980,5.354716666666666,Lithuania,1980,36.614,10.679,49.802
Serbia,2013,12.802729166666667,Serbia,2013,44.576,6.126,41.275
Hong Kong,1980,21.862916666666663,Hong Kong,1980,16.6,3.345,19.597
Laos,1998,25.455583333333326,Laos,1998,0.82,0.156,35.025
United Kingdom,1976,9.780703431372547,United Kingdom,1976,598.533,10.65,798.971
China,2011,15.145519634477663,China,2011,9520.153,6.999,11352.635
Vietnam,1986,25.128627777777783,Vietnam,1986,20.585,0.341,119.43
Zambia,1993,21.338114583333333,Zambia,1993,2.466,0.294,65.213
Hungary,1989,10.705537037037036,Hungary,1989,75.909,7.297,101.197
Australia,2008,17.28266071428572,Australia,2008,404.279,18.918,797.295
Armenia,2002,12.243600000000002,Armenia,2002,3.077,1.007,6.927
Benin,1975,26.730319444444447,Benin,1975,0.443,0.129,11.534
Lithuania,1997,6.963833333333334,Lithuania,1997,15.163,4.243,27.156
Libya,1996,20.557441666666666,Libya,1996,53.952,10.818,110.343
Norway,1985,5.282833333333333,Norway,1985,32.286,7.775,44.895
Turkmenistan,2008,15.33816666666667,Turkmenistan,2008,59.438,11.12,93.791
China,2010,14.969358504398832,China,2010,8610.048,6.37,10308.954
Belgium,1996,9.138547619047618,Belgium,1996,129.503,12.75,156.472
Belgium,2008,10.747940476190475,Belgium,2008,120.204,11.224,142.555
Venezuela,1996,26.017035416666666,Venezuela,1996,118.347,5.222,218.95
Algeria,1983,18.365933333333334,Algeria,1983,52.074,2.533,110.712
Peru,1986,17.69991902834008,Peru,1986,21.775,1.082,113.65
Greece,2000,17.192095238095238,Greece,2000,102.973,9.55,121.225
Djibouti,1983,29.496999999999996,Djibouti,1983,0.348,0.942,0.981
Djibouti,2009,30.206083333333336,Djibouti,2009,0.443,0.486,1.722
Poland,1997,8.321312638580928,Poland,1997,367.199,9.575,486.762
Sudan,2010,29.380483333333334,Sudan,2010,15.07,0.426,159.714
Bolivia,1988,12.309413793103447,Bolivia,1988,4.294,0.628,66.578
Bolivia,1989,12.150655737704916,Bolivia,1989,4.977,0.713,61.313
Bolivia,1990,12.055557142857142,Bolivia,1990,10.018,1.405,77.564
Laos,2005,24.909249999999997,Laos,2005,1.337,0.228,65.641
Nigeria,1976,26.566645604395607,Nigeria,1976,55.157,0.845,316.595
Mexico,1994,20.79356099656357,Mexico,1994,351.534,3.938,610.362
Indonesia,1987,26.713783908045972,Indonesia,1987,123.813,0.714,1423.853
Indonesia,1999,26.464517241379298,Indonesia,1999,291.771,1.37,1285.88
India,1998,26.22439693029203,India,1998,875.783,0.86,1855.813
Israel,1975,19.097231481481483,Israel,1975,19.54,5.889,84.317
Vietnam,2005,25.45524166666667,Vietnam,2005,95.842,1.182,301.726
Guatemala,1987,19.79058333333333,Guatemala,1987,3.912,0.472,118.701
Panama,1982,27.2085,Panama,1982,3.265,1.591,24.788
Cambodia,1984,27.087833333333332,Cambodia,1984,0.41,0.07,62.263
Ghana,1990,26.78464814814815,Ghana,1990,3.514,0.228,30.286
Nigeria,2013,27.62789972527472,Nigeria,2013,117.401,0.648,360.019
Morocco,1993,17.136074999999998,Morocco,1993,26.782,1.046,61.778
Japan,1979,14.490767541766093,Japan,1979,957.147,8.144,1048.18
United States,2012,16.078407843137263,United States,2012,5331.467,16.812,6388.708
Spain,1985,15.017969999999998,Spain,1985,199.943,5.18,250.311
Bangladesh,2010,26.20787280701754,Bangladesh,2010,54.036,0.355,164.582
Venezuela,2000,25.738329166666666,Venezuela,2000,142.902,5.826,263.709
Ireland,1986,8.451958333333332,Ireland,1986,28.55,8.061,59.098
Syria,1987,18.319619047619046,Syria,1987,36.137,3.173,54.55
Djibouti,1976,29.03175,Djibouti,1976,0.198,0.857,0.631
Ukraine,2011,8.943802083333333,Ukraine,2011,308.376,6.659,418.36
Sudan,2012,28.64533035714286,Sudan,2012,15.763,0.427,167.277
Thailand,1991,27.348388888888888,Thailand,1991,95.045,1.708,269.698
Iran,1988,15.834409669211196,Iran,1988,175.958,3.195,282.824
France,1974,10.679127314814814,France,1974,524.737,9.994,685.827
India,1992,25.757074200426437,India,1992,655.424,0.726,1632.941
India,2004,26.11960784313724,India,2004,1134.611,0.999,2129.202
Belgium,1979,9.274238095238093,Belgium,1979,139.787,14.247,167.036
Italy,1983,13.08354365079365,Italy,1983,358.409,6.314,420.124
Uruguay,1976,17.239583333333332,Uruguay,1976,5.888,2.036,25.876
Serbia,1978,9.51015277777778,Serbia,1978,44.675,5.789,61.343
Serbia,2003,10.728416666666666,Serbia,2003,48.649,6.409,54.626
Serbia,2011,10.694111111111113,Serbia,2011,48.956,6.647,45.504
Bulgaria,2005,10.94795238095238,Bulgaria,2005,50.6,6.576,56.864
Turkmenistan,1985,15.093416666666668,Turkmenistan,1985,32.564,10.027,57.98
Pakistan,2009,25.171980225988698,Pakistan,2009,148.355,0.763,344.851
Iran,2001,16.902165404040407,Iran,2001,389.912,5.781,539.502
Malaysia,1982,26.754377604166667,Malaysia,1982,30.642,2.215,183.166
Ecuador,2009,21.42264743589744,Ecuador,2009,33.815,2.281,77.756
Brazil,1990,22.58987727272727,Brazil,1990,218.658,1.466,2105.299
Israel,2004,19.88778703703704,Israel,2004,58.679,8.871,67.094
Lebanon,1987,18.937583333333336,Lebanon,1987,7.67,2.266,9.475
Lebanon,1997,18.847583333333333,Lebanon,1997,15.099,3.675,17.957
Haiti,1993,26.695083333333336,Haiti,1993,0.683,0.094,9.86
Zambia,1985,20.893333333333334,Zambia,1985,2.733,0.403,47.023
Taiwan,2009,22.64557222222222,Taiwan,2009,253.028,10.923,272.705
Cuba,1991,26.32447023809524,Cuba,1991,26.961,2.516,72.751
Cameroon,1978,24.776944444444446,Cameroon,1978,1.993,0.249,73.874
Syria,1991,18.509595238095237,Syria,1991,42.425,3.268,76.885
Honduras,1987,24.558916666666665,Honduras,1987,2.144,0.468,29.265
Armenia,2001,10.181166666666666,Armenia,2001,3.533,1.145,6.896
Greece,2011,16.74742857142857,Greece,2011,94.505,8.507,109.427
Portugal,1988,15.140761904761902,Portugal,1988,32.568,3.255,50.114
Panama,1980,27.063666666666666,Panama,1980,3.088,1.578,25.417
Kazakhstan,1993,9.532898734177216,Kazakhstan,1993,207.559,12.015,317.677
Chad,1990,27.672749999999997,Chad,1990,0.377,0.063,22.828
Laos,2002,24.752333333333336,Laos,2002,1.166,0.208,53.915
Japan,1985,13.80738979007634,Japan,1985,915.276,7.575,999.139
China,1998,15.971905442009358,China,1998,3355.336,2.682,5195.279
India,1997,25.563705480912777,India,1997,857.976,0.859,1831.317
India,2008,25.889753570667246,India,2008,1490.366,1.234,2641.331
